x,y,w,h,aspect_ratio,ground_truth,predicted
50,66,46,46,1.0,left,center
46,67,44,44,1.0,left,center
124,63,45,45,1.0,right,center
121,60,47,47,1.0,right,center
46,66,44,44,1.0,left,center
122,57,47,47,1.0,right,center
46,62,46,46,1.0,left,center
127,63,47,47,1.0,right,center
52,68,45,45,1.0,left,center
128,63,48,48,1.0,right,center
53,69,44,44,1.0,left,center
127,61,47,47,1.0,right,center
50,66,45,45,1.0,left,center
129,63,49,49,1.0,right,center
54,70,43,43,1.0,left,center
79,168,25,25,1.0,center,center
130,64,48,48,1.0,right,center
56,71,43,43,1.0,left,center
127,65,46,46,1.0,right,center
50,70,44,44,1.0,left,center
85,164,28,28,1.0,center,center
130,65,45,45,1.0,right,center
54,70,43,43,1.0,left,center
127,64,47,47,1.0,right,center
51,70,44,44,1.0,left,center
120,61,46,46,1.0,right,center
43,64,45,45,1.0,left,center
127,65,46,46,1.0,right,center
49,69,46,46,1.0,left,center
131,67,46,46,1.0,right,center
51,67,49,49,1.0,left,center
127,64,42,42,1.0,right,center
46,61,47,47,1.0,left,center
48,66,46,46,1.0,left,center
129,69,42,42,1.0,right,center
53,63,45,45,1.0,left,center
133,65,41,41,1.0,right,center
87,157,29,29,1.0,center,center
133,69,42,42,1.0,right,center
74,153,46,46,1.0,center,center
53,67,48,48,1.0,left,center
128,67,42,42,1.0,right,center
82,161,30,30,1.0,center,center
47,63,49,49,1.0,left,center
126,64,41,41,1.0,right,center
47,61,47,47,1.0,left,center
49,62,47,47,1.0,left,center
130,65,42,42,1.0,right,center
78,160,34,34,1.0,center,center
125,64,42,42,1.0,right,center
44,61,48,48,1.0,left,center
76,159,32,32,1.0,center,center
131,63,41,41,1.0,right,center
84,160,27,27,1.0,center,center
49,60,48,48,1.0,left,center
55,64,47,47,1.0,center,center
134,66,42,42,1.0,right,center
83,160,31,31,1.0,center,center
138,68,42,42,1.0,right,center
55,64,50,50,1.0,center,center
52,65,48,48,1.0,left,center
134,68,42,42,1.0,right,center
52,65,48,48,1.0,left,center
134,67,43,43,1.0,right,center
133,66,42,42,1.0,right,center
49,63,51,51,1.0,left,center
134,67,43,43,1.0,right,center
52,65,47,47,1.0,left,center
53,66,48,48,1.0,left,center
134,67,43,43,1.0,right,center
137,68,44,44,1.0,right,center
55,66,48,48,1.0,center,center
135,65,43,43,1.0,right,center
53,63,49,49,1.0,center,center
135,68,43,43,1.0,right,center
51,67,48,48,1.0,left,center
130,65,45,45,1.0,right,center
49,65,48,48,1.0,left,center
132,63,44,44,1.0,right,center
51,63,48,48,1.0,left,center
49,60,49,49,1.0,left,center
130,60,45,45,1.0,right,center
50,63,48,48,1.0,left,center
132,62,46,46,1.0,right,center
131,63,46,46,1.0,right,center
49,65,47,47,1.0,left,center
87,166,22,22,1.0,center,center
80,167,22,22,1.0,center,center
53,65,47,47,1.0,left,center
136,62,46,46,1.0,right,center
128,60,47,47,1.0,right,center
47,63,47,47,1.0,left,center
135,62,48,48,1.0,right,center
52,66,47,47,1.0,left,center
89,170,26,26,1.0,center,center
50,70,45,45,1.0,left,center
132,65,48,48,1.0,right,center
133,65,47,47,1.0,right,center
83,171,22,22,1.0,center,right
50,68,47,47,1.0,left,center
135,66,47,47,1.0,right,center
50,69,47,47,1.0,left,center
84,173,21,21,1.0,center,center
131,64,48,48,1.0,right,center
50,69,47,47,1.0,left,center
131,63,47,47,1.0,right,center
49,67,47,47,1.0,left,center
133,60,48,48,1.0,right,center
50,64,47,47,1.0,left,center
130,57,49,49,1.0,right,center
47,62,47,47,1.0,left,center
132,59,50,50,1.0,right,center
49,64,47,47,1.0,left,center
134,60,49,49,1.0,right,center
50,64,48,48,1.0,left,center
136,61,51,51,1.0,right,center
50,65,48,48,1.0,left,center
51,66,48,48,1.0,left,center
135,64,50,50,1.0,right,center
133,63,51,51,1.0,right,center
48,66,49,49,1.0,left,center
136,64,49,49,1.0,right,center
49,65,49,49,1.0,left,center
55,65,49,49,1.0,center,center
133,65,47,47,1.0,right,center
50,56,57,57,1.0,center,center
121,58,57,57,1.0,right,center
54,63,48,48,1.0,left,center
133,62,49,49,1.0,right,center
133,63,51,51,1.0,right,center
53,65,46,46,1.0,left,center
84,170,25,25,1.0,center,center
52,63,48,48,1.0,left,center
135,62,52,52,1.0,right,center
86,169,25,25,1.0,center,center
52,65,45,45,1.0,left,center
134,63,50,50,1.0,right,center
54,70,45,45,1.0,left,center
136,67,50,50,1.0,right,center
56,68,46,46,1.0,left,center
138,65,53,53,1.0,right,center
57,63,46,46,1.0,center,center
138,60,53,53,1.0,right,center
55,63,46,46,1.0,left,center
140,61,53,53,1.0,right,center
52,63,47,47,1.0,left,center
139,62,53,53,1.0,right,center
55,62,49,49,1.0,left,center
143,64,54,54,1.0,right,center
60,67,48,48,1.0,left,center
87,182,28,28,1.0,center,center
148,69,53,53,1.0,right,center
144,65,55,55,1.0,right,center
58,64,48,48,1.0,left,center
